2025-06-19T08:04:45.362731 | FAILED | User: user | IP: 127.0.0.1 | Reason: Invalid credentials
2025-06-19T08:04:49.704637 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-20T05:04:07.970668 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-20T05:05:06.330625 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-20T05:22:04.745842 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-20T05:23:14.600794 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-20T05:51:04.262184 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-20T06:15:33.289998 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-21T06:30:15.498905 | FAILED | User: admin | IP: 127.0.0.1 | Reason: Invalid credentials
2025-06-21T06:30:17.303500 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-21T23:41:20.656122 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-22T03:35:55.270899 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-23T02:51:14.735361 | FAILED | User: user | IP: 127.0.0.1 | Reason: Invalid credentials
2025-06-23T02:51:17.525135 | FAILED | User: user | IP: 127.0.0.1 | Reason: Invalid credentials
2025-06-23T02:51:19.665120 | SUCCESS | User: user | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-23T02:52:25.425288 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-23T10:39:52.685674 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-24T08:43:16.645058 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-24T09:00:45.363691 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-24T10:52:50.395779 | SUCCESS | User: user | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-24T22:48:25.165981 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-25T15:13:57.130773 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-25T15:26:56.561540 | SUCCESS | User: user | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-25T23:52:55.479804 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-26T00:49:52.664122 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-26T02:33:36.372947 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-26T17:35:04.154575 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-27T03:42:24.866145 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
2025-06-27T13:36:26.625219 | SUCCESS | User: admin | IP: 127.0.0.1 | Reason: Authentication successful
